Category,Variable,Description,Embedding_Type,N_samples,R2,RMSE,MAE
Infrastructure,sdg11_2_samt,Mass Transit Seats,Pop-weighted,339,-0.42731758036865664,203.3280525289675,109.56185484914238
Infrastructure,sdg11_2_samt,Mass Transit Seats,Regular,339,-0.3458481699354905,197.43994784370068,105.09806188475763
Institutional,sdg16_6_pbec,Budget Execution Capacity,Pop-weighted,339,0.05199485874955834,15.375717976922392,11.978691807011465
Institutional,sdg16_6_pbec,Budget Execution Capacity,Regular,339,0.0742087316251786,15.194506470263857,11.852580466060912
Institutional,sdg16_9_cr,Civil Registry Coverage,Pop-weighted,339,0.42835666012507834,3.8966463790341237,2.790591146362052
Institutional,sdg16_9_cr,Civil Registry Coverage,Regular,339,0.3624034462705895,4.115299067898284,3.008144684971657
Institutional,sdg17_5_pipc,Public Investment per Capita,Pop-weighted,339,0.16722264135937748,571.5751349756881,382.8479621560244
Institutional,sdg17_5_pipc,Public Investment per Capita,Regular,339,0.04637576688435685,611.6422993995266,403.775638409503
Basic Utilities,sdg1_4_abs,Access to 3 Basic Services,Pop-weighted,339,0.6195204822338305,15.795906053629716,11.557789973121519
Basic Utilities,sdg1_4_abs,Access to 3 Basic Services,Regular,339,0.49852716795338314,18.134375558035877,13.645247884243219
Health,sdg3_1_idca,Institutional Childbirth,Pop-weighted,339,0.6929124993474187,12.505415715561956,8.949178818452785
Health,sdg3_1_idca,Institutional Childbirth,Regular,339,0.5789490542306486,14.643145820133373,10.912119041537887
Health,sdg3_3_hivi,HIV Incidence,Pop-weighted,339,0.005559638987849058,114.8903018675759,59.57749602659456
Health,sdg3_3_hivi,HIV Incidence,Regular,339,0.024320771573331013,113.80138009231203,61.936798622474605
Health,sdg3_3_ti,Tuberculosis Incidence,Pop-weighted,339,0.3704546212320238,32.07441731811224,21.84679896400507
Health,sdg3_3_ti,Tuberculosis Incidence,Regular,339,0.36820073160075084,32.13178221169079,22.22428183639955
Education,sdg4_1_ssdrf,School Dropout Rate (Female),Pop-weighted,339,-0.20337756312475186,2.653970291683054,1.738563024705838
Education,sdg4_1_ssdrf,School Dropout Rate (Female),Regular,339,-0.5883921019334044,3.049116103503262,1.8349339815038543
Education,sdg4_1_ssdrm,School Dropout Rate (Male),Pop-weighted,339,0.16489434192849783,2.987167141745329,2.093974152901554
Education,sdg4_1_ssdrm,School Dropout Rate (Male),Regular,339,0.09831878338953659,3.1039543237747473,2.067075852382919
Education,sdg4_c_qti,Qualified Teachers (Initial),Pop-weighted,339,0.0837628456772348,30.906571677143283,24.507254500226797
Education,sdg4_c_qti,Qualified Teachers (Initial),Regular,339,0.07785196106906878,31.006104580339734,24.376140849591625
Education,sdg4_c_qts,Qualified Teachers (Secondary),Pop-weighted,339,0.08576612425934027,17.743952741782316,12.970676419031413
Education,sdg4_c_qts,Qualified Teachers (Secondary),Regular,339,0.12476316834522361,17.361390680937056,12.920876974753732
Basic Utilities,sdg6_1_dwc,Drinking Water Coverage,Pop-weighted,339,0.2788627056329771,15.301017798678924,11.853584413390495
Basic Utilities,sdg6_1_dwc,Drinking Water Coverage,Regular,339,0.16735881417052612,16.441456463194825,12.584297948675188
Basic Utilities,sdg6_2_sc,Sanitation Coverage,Pop-weighted,339,0.2738773872213023,18.83345325553598,14.296923364452855
Basic Utilities,sdg6_2_sc,Sanitation Coverage,Regular,339,0.16885878009248145,20.149412522132522,15.077429330863227
Basic Utilities,sdg6_3_wwt,Wastewater Treatment,Pop-weighted,339,-0.0005103946150994965,30.094557834326867,9.850856655349242
Basic Utilities,sdg6_3_wwt,Wastewater Treatment,Regular,339,0.024766278203858683,29.711974885142805,9.306832986390187
Basic Utilities,sdg7_1_ec,Electricity Coverage,Pop-weighted,339,0.46614217524217894,14.18626202103824,11.417527171473223
Basic Utilities,sdg7_1_ec,Electricity Coverage,Regular,339,0.3612402466170569,15.517578212634545,12.53766369620107
Infrastructure,sdg9_1_routes,Roads/Railways,Pop-weighted,339,0.04500669582379835,1.0902194218940553,0.8029194209056464
Infrastructure,sdg9_1_routes,Roads/Railways,Regular,339,-0.0006372138518124792,1.115968860576408,0.8245978176557376
Education,sdg9_5_cd,Computers Delivered,Pop-weighted,339,-0.017658470498013834,4.220189771502431,1.969786276200767
Education,sdg9_5_cd,Computers Delivered,Regular,339,-0.03161684081257188,4.249033608822736,1.8312824583240288
Education,sdg9_5_eutf,Schools with Tech Floors,Pop-weighted,323,0.2197735652798456,7.719367055097833,6.074059690624556
Education,sdg9_5_eutf,Schools with Tech Floors,Regular,323,0.1059522121347436,8.263265906811947,6.698598337870252
Infrastructure,sdg9_c_mnc,Network Coverage,Pop-weighted,339,0.511528225170411,14.295423093129099,11.781279844715792
Infrastructure,sdg9_c_mnc,Network Coverage,Regular,339,0.30649404185967943,17.033440377317525,14.118774986200767
